post_id,user_id,label,year,month,day,hour,clean_text,depression_label_relabelled
637894677824413696,1013187241,1,2015,8,30,7,it's just over 2 years since i was diagnosed with and . today i'm taking a moment to reflect on how far i've come since.,0
637890384576778240,1013187241,1,2015,8,30,7,"it's sunday, i need a break, so i'm planning to spend as little time as possible on the ...",1
637749345908051968,1013187241,1,2015,8,29,22,awake but tired. i need to sleep but my brain has other ideas...,1
637696421077123073,1013187241,1,2015,8,29,18,rt : bears make perfect gifts and are great for beginners too! get stitching with october's sew on sale now!,0
637696327485366272,1013187241,1,2015,8,29,18,it’s hard to say whether packing lists are making life easier or just reinforcing how much still needs doing...,0
637692793083817985,1013187241,1,2015,8,29,18,making packing lists is my new hobby...,0
637691649943072772,1013187241,1,2015,8,29,18,at what point does keeping stuff for nostalgic reasons cross the line into plain old hoarding...?,0
637689418472652800,1013187241,1,2015,8,29,18,currently in the finding-boxes-of-random-shit packing phase. i think i’m a closet hoarder...,0
637687177946734592,1013187241,1,2015,8,29,18,"can't be bothered to cook, take away on the way 😁👍🏼",1
637684866906255360,1013187241,1,2015,8,29,17,rt : itv releases promo video for the final series of downton abbey,0
637684675557896193,1013187241,1,2015,8,29,17,"... also, i have too much stuff. way, way too much",0
637684322078707712,1013187241,1,2015,8,29,17,i never want to put one of these together again,1
637555158440902656,1013187241,1,2015,8,29,9,moving stuff is bloomin’ knackering... and there’s still loads to do... 😥,0
637550791847510017,1013187241,1,2015,8,29,9,"back at the house, moving stuff. it’s so peaceful here... i ❤️ 🏡 😊",0
637314209559281664,1013187241,1,2015,8,28,17,urgh. anxiety. ffs where does it come from?! (breathe...),1
637310611244892160,1013187241,1,2015,8,28,17,"i have too much stuff. way, way too much... massive purge on the way.",1
637224036918013953,1013187241,1,2015,8,28,11,hideous traffic on the a14. must remember to pay closer attention to the traffic reports...,0
637208158553931776,1013187241,1,2015,8,28,10,packing and purging. feels good 😊👍🏼,0
637181954975252480,1013187241,1,2015,8,28,8,in b&amp;q looking at internal doors. fun times 😉,0
637145132949766144,1013187241,1,2015,8,28,6,"time to get up. so many things to do, such a busy day ahead...",1
637133358812778496,1013187241,1,2015,8,28,5,it's 6:20... do i get up or lie here a little longer with my cat buddy... ❓,0
637132570354950145,1013187241,1,2015,8,28,5,there's nothing like cocktails and exhaustion to aid a good night's sleep...,0
636996790693269505,1013187241,1,2015,8,27,20,great night out with my favourite ladies. much needed after the past few days. i love them so much 💕,0
636603948711956480,1013187241,1,2015,8,26,18,sat down on the sofa for a quick rest... an hour ago. need to move.,1
636562582321635329,1013187241,1,2015,8,26,15,how much do i want pizza right now...?,0
636443677511057408,1013187241,1,2015,8,26,7,i will always love you. peter gabriel - in your eyes,0
636441987101655040,1013187241,1,2015,8,26,7,such a busy day ahead. i need to focus but i'm feeling on the edge of derailment right now.,1
636439953547882496,1013187241,1,2015,8,26,7,even now the smallest thing still makes my heart break. i doesn't feel like that ever goes away.,1
636429433415581696,1013187241,1,2015,8,26,6,"why is choosing a curtain pole suddenly so confusing? too. many. choices. and yes, i know this isn't a 'real' problem.",0
636242913916264448,1013187241,1,2015,8,25,18,completed on my house. got the keys. what a fab day! whoop! 🏡🎉💕,0
636090260187910144,1013187241,1,2015,8,25,8,"rt : hi - could you retweet our long stayers, sammy and suki? photographed them today...buckscats.org.uk",0
636050135546494976,1013187241,1,2015,8,25,5,big day today 🏡😁🎉,0
635927041955766273,1013187241,1,2015,8,24,21,how lovely,0
635883090565533696,1013187241,1,2015,8,24,18,rt : the weather outside is frightful...but our makes are so delightful! here's a sneak peak of october issue's projects!,1
635879517026938881,1013187241,1,2015,8,24,18,that's good news at least,0
635879398315556864,1013187241,1,2015,8,24,18,had a headache so took a nap. for three hours! woke up a bit confused as to time and day... 😴,1
635829485284261888,1013187241,1,2015,8,24,15,rt : on a budget? we have 21 recipes for £1.50 or less a head and they don't compromise on flavour. htt…,0
635827655456198656,1013187241,1,2015,8,24,14,rt : rt : please rt for us.... 80yr old dog owner getting very distraught over his lost dog 😓,1
635823998379655168,1013187241,1,2015,8,24,14,"rt : flying displays by vintage jets ""significantly restricted"" until further notice by caa - limited to fly pasts.",0
635718588171702272,1013187241,1,2015,8,24,7,"rt : happy , crafters! if you need a bit of a pick-me-up to get you started, check this out: …",0
635717273462902784,1013187241,1,2015,8,24,7,they don't sleep like this now 💕...,0
635711239046475776,1013187241,1,2015,8,24,7,truly so awful 😟,0
635710739081261056,1013187241,1,2015,8,24,7,i don't understand this. what does it achieve?!😕palmyra's baalshamin temple 'blown up by is',0
635698503784730624,1013187241,1,2015,8,24,6,"rt : cigarettes made out of green tea leaves, claim to help you quit smoking",0
635569269787500544,1013187241,1,2015,8,23,21,not having to get up in the morning for two whole weeks. bliss. 😊,0
635543618380562433,1013187241,1,2015,8,23,20,i feel like an invisible hand is trying to remove both my eyeballs with a spoon 😖,1
635542289629192192,1013187241,1,2015,8,23,20,rt : ‘hair tapestry’ is the latest hair trend,0
635533454076215296,1013187241,1,2015,8,23,19,it feels like coverage and alt media has now gone beyond news to 'ghoulish'...,0
635532439201415169,1013187241,1,2015,8,23,19,"it's the mail, it's entirely their mo. mail online is barely 'news' 😕",0
635527712275308544,1013187241,1,2015,8,23,19,it's so awful 😟,1
635526891013828608,1013187241,1,2015,8,23,18,the awfulness of it continues. heartbreaking 😟,0
635489332082683904,1013187241,1,2015,8,23,16,lazy afternoon snooze with my kitty cat...,0
635480709331877889,1013187241,1,2015,8,23,15,the pain and heartbreak of tragedy is such a confusing emotion. i feel such sadness for my south coast friends,1
635466276417204224,1013187241,1,2015,8,23,14,pouring with rain in . that sun didn't last long... 😕,1
635457669915086850,1013187241,1,2015,8,23,14,rt : friends of footballers pay tribute to to their teammates -,0
635437561767444480,1013187241,1,2015,8,23,13,i've done nothing for the last 40 minute. enough. i need to stand up and do stuff,1
635353558045597697,1013187241,1,2015,8,23,7,rt : comfy this sunday morning? our cushion blog post will only make you more snug!,0
635343406479339520,1013187241,1,2015,8,23,6,rt : a27 diversion route likely to remain in place all day after shoreham air crash -,0
